text,label
Three turtle eggs were buried in the sand.,0
Buried in the sand were three turtle eggs.,1
The students studied for seven hours.,0
"For seven hours, the students studied.",1
My old school friend was standing before me.,0
Standing before me was my old school friend.,1
I want to buy those books over there.,0
"Those books over there, I want to buy those.",1
The biggest spider I had ever seen was before my very eyes.,0
Before my very eyes was the biggest spider I had ever seen.,1
"I like horror movies, but I dislike romance movies.",0
"Horror movies I like, but romance movies I dislike.",1
My little sister hid behind the curtains.,0
Behind the curtains hid my little sister.,1
You will see a golden ring in the box.,0
"In the box, you will see a golden ring.",1
I watched that TV show you told me about last night.,0
"That TV show you told me about, I watched it last night.",1
The main characters fall in love at the end of the story.,0
"At the end of the story, the main characters fall in love.",1
The cat slept peacefully on the windowsill.,0
On the windowsill slept the cat peacefully.,1
A rainbow appeared after the rainstorm.,0
"After the rainstorm, a rainbow appeared.",1
The children played joyfully in the park.,0
"In the park, the children played joyfully.",1
A delicious aroma wafted from the kitchen.,0
From the kitchen wafted a delicious aroma.,1
The stars twinkled brightly in the night sky.,0
"In the night sky, the stars twinkled brightly.",1
The teacher explained the lesson clearly.,0
"Clearly, the teacher explained the lesson.",1
An unexpected guest arrived at the party.,0
"At the party, an unexpected guest arrived.",1
The flowers bloomed beautifully in the garden.,0
"In the garden, the flowers bloomed beautifully.",1
A gentle breeze rustled through the trees.,0
"Through the trees, a gentle breeze rustled.",1
The alarm clock rang loudly in the morning.,0
"In the morning, the alarm clock rang loudly.",1
The fire crackled merrily in the fireplace.,0
"In the fireplace, the fire crackled merrily.",1
The train roared past the station.,0
"Past the station, the train roared.",1
The waves crashed violently against the shore.,0
"Against the shore, the waves crashed violently.",1
The birds chirped happily in the trees.,0
"In the trees, the birds chirped happily.",1
The wind howled fiercely through the night.,0
"Through the night, the wind howled fiercely.",1
The sun shone brightly in the clear sky.,0
"In the clear sky, the sun shone brightly.",1
The clock ticked slowly on the wall.,0
"On the wall, the clock ticked slowly.",1
The rain poured heavily on the roof.,0
"On the roof, the rain poured heavily.",1
The cars honked loudly in the traffic jam.,0
"In the traffic jam, the cars honked loudly.",1
The laughter echoed softly in the empty room.,0
"In the empty room, the laughter echoed softly.",1
The cat purred contentedly on the couch.,0
"Contentedly on the couch, the cat purred.",1
