input,target
inversion: I have never been so happy to see someone.,Never have I been so happy to see someone.
inversion: He not only won the match but he came back from a difficult start.,Not only did he win the match but he came back from a difficult start.
inversion: She had barely got back in bed when her alarm went off.,Barely had she got back in bed when her alarm went off.
inversion: They not only arrived late but they talked throughout the film.,Not only did they arrive late but they talked throughout the film.
inversion: We rarely find such talent.,Rarely do we find such talent.
inversion: They had never seen so many people in the village.,Never had they seen so many people in the village.
inversion: She has seldom taken a day off work.,Seldom has she taken a day off work.
inversion: A patient can rarely fully recover from such an injury.,Rarely can a patient fully recover from such an injury.
inversion: We hardly hat sat dawn when we were told to evacuate the building.,Hardly had we sat down when we were told to evacuate the building.
inversion: The captain was taken ill no sooner had the game started.,No sooner had the game started than the captain was taken ill.
inversion: I realised my glass was broken only when they refilled it.,Only when they refilled my glass did I realise it was broken.
inversion: They discovered they hadn't been told the truth only later.,Only later did they discover they hadn't been told the truth.
inversion: Children should travel with an adult under no circumstances.,Under no circumstances should children travel without an adult.
inversion: We agreed to this in no way.,In no way did we agree to this.
inversion: People don't realise how hard it is to be a chef.,Little do people realise how hard it is to be a chef.
inversion: She didn't know then that she would become the company director.,Little did she know then that she would become the company director.
"inversion: "" If I had been there, this problem wouldn't have happened.""","Had I been there, this problem wouldn't have happened."
inversion: All the money we had lost was on the table.,On the table was all the money we had lost.
inversion: The knights came round the corner.,Round the corner came the knights.
inversion: The food was so delicious that we ate every last bite.,So delicious was the food that we ate every last bite.
inversion: We haven't seen such beautiful weather since last summer.,Not since last summer have we seen such beautiful weather.
inversion: She noticed the missing jewelry only after the guests left.,Only after the guests left did she notice the missing jewelry.
inversion: I have rarely encountered such a challenging problem in my career.,Rarely in my career have I encountered such a challenging problem.
inversion: He didn't suspect that his friends were planning a surprise party.,Little did he suspect that his friends were planning a surprise party.
inversion: I will not lend you my car again under any circumstances.,Under no circumstances will I lend you my car again.
inversion: The city lights come alive only when the sun sets.,Only when the sun sets do the city lights come alive.
inversion: We seldom witness such a spectacular display of fireworks.,Seldom do we witness such a spectacular display of fireworks.
inversion: The audience erupted into applause no sooner had she finished her speech.,No sooner had she finished her speech than the audience erupted into applause.
inversion: We had hardly begun the hike when it started to rain.,Hardly had we begun the hike when it started to rain.
inversion: She didn't realize the gravity of the situation until she read the letter.,Not until she read the letter did she realize the gravity of the situation.
inversion: You can hope to pass the exam only by studying diligently.,Only by studying diligently can you hope to pass the exam.
inversion: The mystery didn't unravel until the final chapter.,Not until the final chapter did the mystery unravel.
inversion: We rarely encounter such kindness from strangers.,Rarely do we encounter such kindness from strangers.
inversion: They didn't realize the impact of their actions on the environment.,Little did they realize the impact of their actions on the environment.
inversion: You should not ignore your health under any circumstances.,Under no circumstances should you ignore your health.
inversion: She mastered the piano piece only after hours of practice.,Only after hours of practice did she master the piano piece.
inversion: We seldom see such a breathtaking sunset.,Seldom do we see such a breathtaking sunset.
inversion: It began to snow no sooner had they boarded the plane.,No sooner had they boarded the plane than it began to snow.
inversion: She had hardly finished her meal when the phone rang.,Hardly had she finished her meal when the phone rang.
inversion: They didn't realize the magnitude of their accomplishment until they reached the summit.,Not until they reached the summit did they realize the magnitude of their accomplishment.
inversion: You can achieve your goals only with hard work.,Only with hard work can you achieve your goals.
inversion: We rarely witness such a powerful performance.,Rarely do we witness such a powerful performance.
